Year,Hit,No.,Title,Artist(s)
1990,1,1,"""Hold On""","Wilson Phillips
"
1990,1,2,"""It Must Have Been Love""","Roxette
"
1990,1,3,"""Nothing Compares 2 U""","Sinéad O'Connor
"
1990,1,4,"""Poison""","Bell Biv DeVoe
"
1990,1,5,"""Vogue""","Madonna
"
1990,1,6,"""Vision of Love""","Mariah Carey
"
1990,1,7,"""Another Day in Paradise""","Phil Collins
"
1990,1,8,"""Hold On""","En Vogue
"
1990,1,9,"""Cradle of Love""","Billy Idol
"
1990,1,10,"""Blaze of Glory""","Jon Bon Jovi
"
1990,1,11,"""Do Me!""","Bell Biv DeVoe
"
1990,1,12,"""How Am I Supposed to Live Without You""","Michael Bolton
"
1990,1,13,"""Pump Up the Jam""","Technotronic
"
1990,1,14,"""Opposites Attract""","Paula Abdul
"
1990,1,15,"""Escapade""","Janet Jackson
"
1990,1,16,"""All I Wanna Do Is Make Love to You""","Heart
"
1990,1,17,"""Close to You""","Maxi Priest
"
1990,1,18,"""Black Velvet""","Alannah Myles
"
1990,1,19,"""Release Me""","Wilson Phillips
"
1990,1,20,"""Don't Know Much""","Linda Ronstadt featuring Aaron Neville
"
1990,1,21,"""All Around the World""","Lisa Stansfield
"
1990,1,22,"""I Wanna Be Rich""","Calloway
"
1990,1,23,"""Rub You the Right Way""","Johnny Gill
"
1990,1,24,"""She Ain't Worth It""","Glenn Medeiros featuring Bobby Brown
"
1990,1,25,"""If Wishes Came True""","Sweet Sensation
"
1990,1,26,"""The Power""","Snap!
"
1990,1,27,"""(Can't Live Without Your) Love and Affection""","Nelson
"
1990,1,28,"""Love Will Lead You Back""","Taylor Dayne
"
1990,1,29,"""Don't Wanna Fall in Love""","Jane Child
"
1990,1,30,"""Two to Make It Right""","Seduction
"
1990,1,31,"""Sending All My Love""","Linear
"
1990,1,32,"""Unskinny Bop""","Poison
"
1990,1,33,"""Step by Step""","New Kids on the Block
"
1990,1,34,"""Dangerous""","Roxette
"
1990,1,35,"""We Didn't Start the Fire""","Billy Joel
"
1990,1,36,"""I Don't Have the Heart""","James Ingram
"
1990,1,37,"""Downtown Train""","Rod Stewart
"
1990,1,38,"""Rhythm Nation""","Janet Jackson
"
1990,1,39,"""I'll Be Your Everything""","Tommy Page
"
1990,1,40,"""Roam""","The B-52's
"
1990,1,41,"""Everything""","Jody Watley
"
1990,1,42,"""Back to Life (However Do You Want Me)""","Soul II Soul featuring Caron Wheeler
"
1990,1,43,"""Here and Now""","Luther Vandross
"
1990,1,44,"""Alright""","Janet Jackson
"
1990,1,45,"""Ice Ice Baby""","Vanilla Ice
"
1990,1,46,"""Blame It on the Rain""","Milli Vanilli
"
1990,1,47,"""Have You Seen Her""","MC Hammer
"
1990,1,48,"""With Every Beat of My Heart""","Taylor Dayne
"
1990,1,49,"""Come Back to Me""","Janet Jackson
"
1990,1,50,"""No More Lies""","Michel'le
"
1990,1,51,"""Praying for Time""","George Michael
"
1990,1,52,"""How Can We Be Lovers""","Michael Bolton
"
1990,1,53,"""Do You Remember?""","Phil Collins
"
1990,1,54,"""Ready or Not""","After 7
"
1990,1,55,"""U Can't Touch This""","MC Hammer
"
1990,1,56,"""I Wish It Would Rain Down""","Phil Collins
"
1990,1,57,"""Just Between You and Me""","Lou Gramm
"
1990,1,58,"""Something Happened on the Way to Heaven""","Phil Collins
"
1990,1,59,"""Black Cat""","Janet Jackson
"
1990,1,60,"""Can't Stop""","After 7
"
1990,1,61,"""Janie's Got a Gun""","Aerosmith
"
1990,1,62,"""The Humpty Dance""","Digital Underground
"
1990,1,63,"""I'll Be Your Shelter""","Taylor Dayne
"
1990,1,64,"""Free Fallin'""","Tom Petty
"
1990,1,65,"""Giving You the Benefit""","Pebbles
"
1990,1,66,"""Enjoy the Silence""","Depeche Mode
"
1990,1,67,"""Love Song""","Tesla
"
1990,1,68,"""Price of Love""","Bad English
"
1990,1,69,"""Girls Nite Out""","Tyler Collins
"
1990,1,70,"""King of Wishful Thinking""","Go West
"
1990,1,71,"""What Kind of Man Would I Be?""","Chicago
"
1990,1,72,"""I Remember You""","Skid Row
"
1990,1,73,"""Get Up! (Before the Night Is Over)""","Technotronic featuring Ya Kid K
"
1990,1,74,"""Here We Are""","Gloria Estefan
"
1990,1,75,"""Epic""","Faith No More
"
1990,1,76,"""Love Takes Time""","Mariah Carey
"
1990,1,77,"""Just Like Jesse James""","Cher
"
1990,1,78,"""Love Shack""","The B-52's
"
1990,1,79,"""All or Nothing""","Milli Vanilli
"
1990,1,80,"""Romeo""","Dino
"
1990,1,81,"""Everybody Everybody""","Black Box
"
1990,1,82,"""I Go to Extremes""","Billy Joel
"
1990,1,83,"""Whip Appeal""","Babyface
"
1990,1,84,"""Oh Girl""","Paul Young
"
1990,1,85,"""C'mon and Get My Love""","D Mob with Cathy Dennis
"
1990,1,86,"""(It's Just) The Way That You Love Me""","Paula Abdul
"
1990,1,87,"""We Can't Go Wrong""","The Cover Girls
"
1990,1,88,"""When I'm Back on My Feet Again""","Michael Bolton
"
1990,1,89,"""Make You Sweat""","Keith Sweat
"
1990,1,90,"""This One's for the Children""","New Kids on the Block
"
1990,1,91,"""What It Takes""","Aerosmith
"
1990,1,92,"""Forever""","Kiss
"
1990,1,93,"""Jerk Out""","The Time
"
1990,1,94,"""Just a Friend""","Biz Markie
"
1990,1,95,"""Whole Wide World""","A'Me Lorain
"
1990,1,96,"""Without You""","Mötley Crüe
"
1990,1,97,"""Swing the Mood""","Jive Bunny and the Mastermixers
"
1990,1,98,"""Thieves in the Temple""","Prince
"
1990,1,99,"""Mentirosa""","Mellow Man Ace
"
1990,1,100,"""Tic-Tac-Toe""","Kyper
"
1991,1,1,"""(Everything I Do) I Do It for You""","Bryan Adams
"
1991,1,2,"""I Wanna Sex You Up""","Color Me Badd
"
1991,1,3,"""Gonna Make You Sweat (Everybody Dance Now)""","C+C Music Factory
"
1991,1,4,"""Rush Rush""","Paula Abdul
"
1991,1,5,"""One More Try""","Timmy T
"
1991,1,6,"""Unbelievable""","EMF
"
1991,1,7,"""More Than Words""","Extreme
"
1991,1,8,"""I Like the Way (The Kissing Game)""","Hi-Five
"
1991,1,9,"""The First Time""","Surface
"
1991,1,10,"""Baby Baby""","Amy Grant
"
1991,1,11,"""Motownphilly""","Boyz II Men
"
1991,1,12,"""Because I Love You (The Postman Song)""","Stevie B
"
1991,1,13,"""Someday""","Mariah Carey
"
1991,1,14,"""High Enough""","Damn Yankees
"
1991,1,15,"""From a Distance""","Bette Midler
"
1991,1,16,"""All the Man That I Need""","Whitney Houston
"
1991,1,17,"""Right Here, Right Now""","Jesus Jones
"
1991,1,18,"""I Adore Mi Amor""","Color Me Badd
"
1991,1,19,"""Love Will Never Do (Without You)""","Janet Jackson
"
1991,1,20,"""Good Vibrations""","Marky Mark and the Funky Bunch featuring Loleatta Holloway
"
1991,1,21,"""Justify My Love""","Madonna
"
1991,1,22,"""Emotions""","Mariah Carey
"
1991,1,23,"""Joyride""","Roxette
"
1991,1,24,"""Romantic""","Karyn White
"
1991,1,25,"""Hold You Tight""","Tara Kemp
"
1991,1,26,"""I Don't Wanna Cry""","Mariah Carey
"
1991,1,27,"""You're in Love""","Wilson Phillips
"
1991,1,28,"""Every Heartbeat""","Amy Grant
"
1991,1,29,"""Sensitivity""","Ralph Tresvant
"
1991,1,30,"""Touch Me (All Night Long)""","Cathy Dennis
"
1991,1,31,"""I've Been Thinking About You""","Londonbeat
"
1991,1,32,"""Do Anything""","Natural Selection
"
1991,1,33,"""Losing My Religion""","R.E.M.
"
1991,1,34,"""Coming Out of the Dark""","Gloria Estefan
"
1991,1,35,"""It Ain't Over 'til It's Over""","Lenny Kravitz
"
1991,1,36,"""Here We Go""","C+C Music Factory
"
1991,1,37,"""Where Does My Heart Beat Now""","Celine Dion
"
1991,1,38,"""Summertime""","DJ Jazzy Jeff & The Fresh Prince
"
1991,1,39,"""Wind of Change""","Scorpions
"
1991,1,40,"""P.A.S.S.I.O.N.""","Rythm Syndicate
"
1991,1,41,"""The Promise of a New Day""","Paula Abdul
"
1991,1,42,"""I'm Your Baby Tonight""","Whitney Houston
"
1991,1,43,"""Love of a Lifetime""","FireHouse
"
1991,1,44,"""Fading Like a Flower (Every Time You Leave)""","Roxette
"
1991,1,45,"""This House""","Tracie Spencer
"
1991,1,46,"""Hole Hearted""","Extreme
"
1991,1,47,"""Power of Love/Love Power""","Luther Vandross
"
1991,1,48,"""Impulsive""","Wilson Phillips
"
1991,1,49,"""Love Is a Wonderful Thing""","Michael Bolton
"
1991,1,50,"""Rhythm of My Heart""","Rod Stewart
"
1991,1,51,"""Things That Make You Go Hmmm...""","C+C Music Factory
"
1991,1,52,"""I Touch Myself""","Divinyls
"
1991,1,53,"""Tom's Diner""","DNA featuring Suzanne Vega
"
1991,1,54,"""Iesha""","Another Bad Creation
"
1991,1,55,"""Something to Talk About""","Bonnie Raitt
"
1991,1,56,"""After the Rain""","Nelson
"
1991,1,57,"""Play That Funky Music""","Vanilla Ice
"
1991,1,58,"""Temptation""","Corina
"
1991,1,59,"""Can't Stop This Thing We Started""","Bryan Adams
"
1991,1,60,"""I Can't Wait Another Minute""","Hi-Five
"
1991,1,61,"""3 a.m. Eternal""","The KLF
"
1991,1,62,"""Time, Love and Tenderness""","Michael Bolton
"
1991,1,63,"""Sadeness (Part I)""","Enigma
"
1991,1,64,"""Around the Way Girl""","LL Cool J
"
1991,1,65,"""I'll Be There""","The Escape Club
"
1991,1,66,"""Cream""","Prince and The New Power Generation
"
1991,1,67,"""Now That We Found Love""","Heavy D & the Boyz
"
1991,1,68,"""Show Me the Way""","Styx
"
1991,1,69,"""Love Takes Time""","Mariah Carey
"
1991,1,70,"""Cry for Help""","Rick Astley
"
1991,1,71,"""The Way You Do the Things You Do""","UB40
"
1991,1,72,"""Here I Am (Come and Take Me)""","UB40
"
1991,1,73,"""Signs""","Tesla
"
1991,1,74,"""Too Many Walls""","Cathy Dennis
"
1991,1,75,"""Crazy""","Seal
"
1991,1,76,"""I'll Give All My Love to You""","Keith Sweat
"
1991,1,77,"""Place in this World""","Michael W. Smith
"
1991,1,78,"""Something to Believe In""","Poison
"
1991,1,79,"""Wicked Game""","Chris Isaak
"
1991,1,80,"""Get Here""","Oleta Adams
"
1991,1,81,"""Round and Round""","Tevin Campbell
"
1991,1,82,"""Silent Lucidity""","Queensrÿche
"
1991,1,83,"""I'm Not in Love""","Will to Power
"
1991,1,84,"""Piece of My Heart""","Tara Kemp
"
1991,1,85,"""Real Real Real""","Jesus Jones
"
1991,1,86,"""Everybody Plays the Fool""","Aaron Neville
"
1991,1,87,"""Just Another Dream""","Cathy Dennis
"
1991,1,88,"""Strike It Up""","Black Box
"
1991,1,89,"""Rico Suave""","Gerardo
"
1991,1,90,"""Disappear""","INXS
"
1991,1,91,"""Groove Is in the Heart""","Deee-Lite
"
1991,1,92,"""All This Time""","Sting
"
1991,1,93,"""The One and Only""","Chesney Hawkes
"
1991,1,94,"""O.P.P.""","Naughty by Nature
"
1991,1,95,"""Freedom! '90""","George Michael
"
1991,1,96,"""I Saw Red""","Warrant
"
1991,1,97,"""Miles Away""","Winger
"
1991,1,98,"""Do You Want Me""","Salt-n-Pepa
"
1991,1,99,"""The Motown Song""","Rod Stewart
"
1991,1,100,"""Shiny Happy People""","R.E.M.
"
1992,1,1,"""End of the Road""","Boyz II Men
"
1992,1,2,"""Baby Got Back""","Sir Mix-a-Lot
"
1992,1,3,"""Jump""","Kris Kross
"
1992,1,4,"""Save the Best for Last""","Vanessa Williams
"
1992,1,5,"""Baby-Baby-Baby""","TLC
"
1992,1,6,"""Tears in Heaven""","Eric Clapton
"
